show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description
s6486,Movie,Kanchana,Raghava Lawrence,"Raghava Lawrence, R. Sarathkumar, Kovai Sarala, Lakshmi Rai, Devadarshini, Sriman",,,2011,13+,164 min,"Comedy, Horror","When three spirits possess a timid young man and start making him act like a woman, his mother consults an exorcist who unearths a heartbreaking tale of societal injustice, murder and vengeance."
s7320,TV Show,Clip: ACT 3 Series post 1C 2,,1,,,2021,ALL,1 Season,TV Shows,ACT 3 Series post 1C 2a
s6523,Movie,Tequila Flavored Cigarettes,Bobby McGruther,"Bobby McGruther, Amandalyn McLellan, Samantha Nolte, Robert Lincoln, Maya Tripathy, Lawrence Kochoa, Bianca Roses, Rachel Robyn Wagner, Allison Blackman",,,2021,16+,77 min,"Comedy, Drama","Your soulmate is decided on your 23rd birthday. Childhood friends reunite to celebrate the birthday of Angelo, the last of their group to turn 23. As the night progresses, old feelings come up, and they start to question whether the system is perfect."
s4672,Movie,H.H. Holmes: America's First Serial Killer,John Borowski,"Tony Jay, Willy Laszlo, BEKA",,,2008,16+,65 min,"Documentary, Horror, Special Interest","At the height of his criminal career, the infamous Dr. H.H. Holmes designed his castle of horrors in Chicago, where he rented rooms to unsuspecting victims visiting the 1893 World's Fair. Further benefiting from his victims, Holmes sold their skeletons to local medical schools."
s1124,TV Show,Runaway Squad,,,,,2010,TV-14,1 Season,TV Shows,"Former NYPD detective Joe Mazzilli leads a team of private investigators – real-life superheroes, some call them – who track runaways with the hope of reuniting them with their families."
s9370,Movie,The Boy Who Killed My Parents,Mauricio Eça,"Gabi Lopes, Carla Diaz, Leonardo Medeiros, Augusto Madeira, Vera Zimmermann",,,2021,NR,88 min,Drama,The Boy Who Killed My Parents presents de Suzane von Richthofen's point of view of the events that led to the death of her parents. A real crime drama about one of the most shocking murder cases of Brazil.
s2860,Movie,Chisholm '72: Unbought & Unbossed,Shola Lynch,"Shirley Chisholm, Ronald V. Dellums, Barbara Lee",,,2004,13+,76 min,Documentary,"Historical documentary on Brooklyn Congresswoman Shirley Chisholm and her campaign for the Democratic Party presidential nomination in 1972. Reflecting Chisholm's wit, spirit, and charisma, the film chronicles her adventures on the Chisholm Trail."
s4101,Movie,Colorz of Rage,Dale Resteghini,"Nicki Richards, Dale Resteghini, Redman, Cheryl Pepsii Riley",,,1999,R,90 min,"Drama, Romance","When an interracial couple move to New York City from the suburbs of Boston, they are hit with a hard-core reality that they are totally unprepared for."
s8177,Movie,The Possession of Michael King,David Jung,"Shane Johnson, Julie McNiven, Dale Dickey, Cara Pifko, Cullen Douglas, Ella Anderson, Tomas Arana",,,2014,R,83 min,Horror,"An atheist determined to disprove the existence of the supernatural is consumed by a horrifying evil force that will not release him. Stars Shane Johnson, Dale Dickey, and Julie McNiven"
s7501,Movie,At Middleton,Adam Rodgers,"Andy Garcia, Peter Riegert, Spencer Lofranco, Taissa Farmiga, Tom Skerritt, Vera Farmiga",,,2014,R,100 min,Comedy,"Oscar-nominees Andy Garcia and Vera Farmiga shine as George and Edith, two parents who fall in love over the course of a single day while playing hooky from their Children college tour."
s762,Movie,The Angry Red Planet,Ib Melchior,"Gerald Mohr, Nora Hayden",,,1960,13+,83 min,Science Fiction,"A science-fiction tale of an expedition to the ""angry red planet"" of Mars...running into all sorts of alien terrors, including unfriendly Martian plants and a terrifying kind of giant mouse/spider hybrid."
s9325,Movie,Halloween With The New Addams Family,David Steinmetz,"John Astin, Ted Cassidy, Jackie Coogan, Carolyn Jones, Henry Darrow, Jane Rose, Elvia Allman, Ken Weatherwax, Lisa Loring",,,1977,7+,87 min,Comedy,"America's first family of ghastly giddiness reunites for a Halloween celebration that will raise the...dead! John Astin, Carolyn Jones, Ted Cassidy, Jackie Coogan, Lisa Loring and Ken Weatherwax all reprise their roles from the hit original series!"
