show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description
s2979,TV Show,Lark Rise to Candleford,,,United Kingdom,"September 24, 2013",2008,TV-PG,4 Seasons,"Drama, International, Romance","Lark Rise, a small hamlet holding on to the past, and Candleford, a small market town bustling into the future, have a complicated relationship which is seen through the eyes of Laura, a young girl who visits both communities."
s1875,TV Show,The Detour,,,,"January 20, 2020",2016,TV-MA,4 Seasons,"Comedy, Sitcom","Jason Jones and Natalie Zea star in this acclaimed, unpredictable and all-too-honest comedy about the chaos that erupts during a couple's thousand-mile road trip with the kids."
s1619,TV Show,Hard,,,,"June 02, 2020",2020,,1 Season,"Comedy, Drama, Latino","In the wake of her husband's sudden death, a woman inherits the porn film company he was secretly running behind her back in this series."
s2568,TV Show,Lost,,,United States,"January 04, 2018",2004,TV-14,6 Seasons,"Action, Adventure, Drama","ABC's LOST explores the destiny of the passengers of Oceanic Flight 815 who crashed on an island. The survivors not only have to rely on each other, but also cope with the secrets the mysterious island holds. Some become friends, others enemies and some stories remain to be told. There's much more than meets the eye, as it becomes apparent that everyone is somehow connected and that everyone has a purpose."
s267,Movie,Crazy Heart,,,,"September 01, 2021",2009,R,112 min,"Drama, Music, Romance","With too many years of hazy days and boozy nights,former country-music legend Bad Blake (Jeff Bridges) is reduced to playing dives and bowling alleys. In town for his latest gig, Blake meets Jean Craddock (Maggie Gyllenhaal), a sympathetic reporter who has come to do a story on him. He unexpectedly warms to her and a romance begins, then the singer finds himself at a crossroads that may threaten his last shot at happiness."
s536,Movie,Personal Shopper,,,,"July 01, 2021",2016,R,105 min,"Drama, Horror, Mystery",A young psychic is plunged into a dangerous game of cat and mouse when she makes contact with a sinister spirit. Kristen Stewart stars in this seductive thriller.
s103,Movie,Intersection,,,,"October 01, 2021",1994,R,99 min,"Drama, Romance","In the wake of a terrible car wreck, award-winning architect Vincent Eastman sees his life in flashbacks, recalling his separation from his beautiful but aloof wife and his affair with a joyful and passionate journalist."
s299,Movie,Sucker Punch,,,,"September 01, 2021",2011,PG-13,110 min,"Action, Adventure, Science Fiction",A young woman creates a fantastic alternate world to help her escape the mental institute where she's trapped in this action-fantasy.
s2029,TV Show,The World Between Us,,,,"October 15, 2019",2019,TV-14,1 Season,"Crime, Drama, International","Set two years after a mass murder at a movie theater, this series follows the intertwined stories of those impacted by the shooting."
s458,TV Show,Backyard Builds,,,,"July 14, 2021",2017,TV-G,4 Seasons,"Lifestyle & Culture, Reality","When indoor space isn’t enough, Backyard Builds showcases the endless opportunities outdoor areas can provide. The series stars contractor and designer Brian McCourt and design expert Sarah Keenleyside who work with homeowners to maximize their backyard’s potential by creating tailored, one-of-a-kind structures. Whether it’s a converted shipping container, cake studio, treehouse village, or outdoor theatre, this contractor and designer duo can extend any living space."
